,Name,Active substance,Date of authorisation / refusal,Status,Therapeutic area,url,atc,emea,indication,wdid,wdid_mix,rxcui,rxcui_mix,rxcui_combo
286,Enyglid,repaglinide,2009-10-14,Authorised,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/001065/human_med_000766.jsp,A10BX02,EMEA/H/C/001065,"Repaglinide is indicated in patients with type-2 diabetes (non-insulin-dependent diabetes mellitus (NIDDM)) whose hyperglycaemia can no longer be controlled satisfactorily by diet, weight reduction and exercise. Repaglinide is also indicated in combination with metformin in type-2 diabetes patients who are not satisfactorily controlled on metformin alone.
Treatment should be initiated as an adjunct to diet and exercise to lower the blood glucose in relation to meals.",Q2195995,,73044,,
287,Enzepi,pancreas powder,2016-06-29,Authorised,Exocrine Pancreatic Insufficiency,index.jsp?curl=pages/medicines/human/medicines/002070/human_med_001990.jsp,A09AA02,EMEA/H/C/002070,"Pancreatic enzyme replacement treatment in exocrine pancreatic insufficiency due to cystic fibrosis or other conditions (e.g. chronic pancreatitis, post pancreatectomy or pancreatic cancer).Enzepi is indicated in infants, children, adolescents and adults.",Q426846,,,,
288,Epclusa,sofosbuvir / velpatasvir,2016-07-06,Authorised,"Hepatitis C, Chronic",index.jsp?curl=pages/medicines/human/medicines/004210/human_med_001997.jsp,J05A,EMEA/H/C/004210,"Epclusa is indicated for the treatment of chronic hepatitis C virus (HCV) infection in adults (see sections 4.2, 4.4 and 5.1).",,"['Q2502747', 'Q27282186']",,"['1484911', '1799206']",1799211
289,Eperzan,albiglutide,2014-03-21,Authorised,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/002735/human_med_001735.jsp,A10BX13,EMEA/H/C/002735,"Eperzan is indicated for the treatment of type 2 diabetes mellitus in adults to improve glycaemic control as:
Monotherapy
When diet and exercise alone do not provide adequate glycaemic control in patients for whom use of metformin is considered inappropriate due to contraindications or intolerance.
Add-on combination therapy
In combination with other glucose-lowering medicinal products including basal insulin, when these, together with diet and exercise, do not provide adequate glycaemic control (see section 4.4 and 5.1 for available data on different combinations).",Q4712362,,,,
290,Episalvan,betulae cortex dry extract (5-10 : 1); extraction solvent: n-heptane 95% (w/w),2016-01-14,Authorised,Wound Healing  Wounds and Injuries,index.jsp?curl=pages/medicines/human/medicines/003938/human_med_001956.jsp,D03,EMEA/H/C/003938,Treatment of partial thickness wounds in adults. See sections 4.4 and 5.1 in Product Information with respect to type of wounds studied.,,,,,
291,Epivir,lamivudine,1996-08-08,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/000107/human_med_000767.jsp,J05AF05,EMEA/H/C/000107,Epivir is indicated as part of antiretroviral combination therapy for the treatment of human-immunodeficiency-virus (HIV)-infected adults and children.,Q422631,,68244,,
292,Epoetin Alfa Hexal,epoetin alfa,2007-08-28,Authorised,"Anemia  Cancer  Kidney Failure, Chronic",index.jsp?curl=pages/medicines/human/medicines/000726/human_med_000768.jsp,B03XA01,EMEA/H/C/000726,"Treatment of symptomatic anaemia associated with chronic renal failure (CRF) in adult and paediatric patients:

treatment of anaemia associated with chronic renal failure in paediatric and adult patients on haemodialysis and adult patients on peritoneal dialysis;
Treatment of severe anaemia of renal origin accompanied by clinical symptoms in adult patients with renal insufficiency not yet undergoing dialysis.

Treatment of anaemia and reduction of transfusion requirements in adult patients receiving chemotherapy for solid tumours, malignant lymphoma or multiple myeloma, and at risk of transfusion as assessed by the patient's general status (e.g. cardiovascular status, pre-existing anaemia at the start of chemotherapy).",Q5383794,,,,
293,Eporatio,epoetin theta,2009-10-29,Authorised,"Anemia  Cancer  Kidney Failure, Chronic",index.jsp?curl=pages/medicines/human/medicines/001033/human_med_001204.jsp,B03XA01,EMEA/H/C/001033,"Treatment of symptomatic anaemia associated with chronic renal failure in adult patients.
Treatment of symptomatic anaemia in adult cancer patients with non-myeloid malignancies receiving chemotherapy.",,,,,
294,Eptifibatide Accord,eptifibatide,2016-01-11,Authorised,Myocardial Infarction,index.jsp?curl=pages/medicines/human/medicines/004104/human_med_001946.jsp,B01AC16,EMEA/H/C/004104,"Eptifibatide Accord is intended for use with acetylsalicylic acid and unfractionated heparin.
Eptifibatide Accord is indicated for the prevention of early myocardial infarction in adults presenting with unstable angina or non-Q-wave myocardial infarction, with the last episode of chest pain occurring within 24 hours and with electrocardiogram (ECG) changes and/or elevated cardiac enzymes.
Patients most likely to benefit from Eptifibatide Accord treatment are those at high risk of developing myocardial infarction within the first 3-4 days after onset of acute angina symptoms including for instance those that are likely to undergo an early PTCA (Percutaneous Transluminal Coronary Angioplasty).",Q2295855,,75635,,
295,Erbitux,cetuximab,2004-06-29,Authorised,Colorectal Neoplasms  Head and Neck Neoplasms,index.jsp?curl=pages/medicines/human/medicines/000558/human_med_000769.jsp,L01XC06,EMEA/H/C/000558,"Erbitux is indicated for the treatment of patients with epidermal growth factor receptor (EGFR)-expressing, RAS wild-type metastatic colorectal cancer:

in combination with irinotecan-based chemotherapy;
in first-line in combination with FOLFOX;
as a single agent in patients who have failed oxaliplatin- and irinotecan-based therapy and who are intolerant to irinotecan.

Erbitux is indicated for the treatment of patients with squamous cell cancer of the head and neck:

in combination with radiation therapy for locally advanced disease;
in combination with platinum-based chemotherapy for recurrent and/or metastatic disease.
",Q420296,,,,
296,Erivedge,vismodegib,2013-07-12,Authorised,"Carcinoma, Basal Cell",index.jsp?curl=pages/medicines/human/medicines/002602/human_med_001659.jsp,L01XX43,EMEA/H/C/002602,Treatment of advanced basal-cell carcinoma,Q2070286,,1242987,,
297,Esbriet,pirfenidone,2011-02-28,Authorised,Idiopathic Pulmonary Fibrosis,index.jsp?curl=pages/medicines/human/medicines/002154/human_med_001417.jsp,L04AX05,EMEA/H/C/002154,Esbriet is indicated in adults for the treatment of mild to moderate idiopathic pulmonary fibrosis.,Q2060696,,1592254,,
298,Esmya,ulipristal acetate,2012-02-23,Authorised,Leiomyoma,index.jsp?curl=pages/medicines/human/medicines/002041/human_med_001542.jsp,G03XB02,EMEA/H/C/002041,"Ulipristal acetate is indicated for pre-operative treatment of moderate to severe symptoms of uterine fibroids in adult women of reproductive age.
Ulipristal acetate is indicated for intermittent treatment of moderate to severe symptoms of uterine fibroids in adult women of reproductive age.",Q975059,,1005920,,
299,Eucreas,vildagliptin / metformin hydrochloride,2007-11-14,Authorised,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/000807/human_med_000770.jsp,A10BD08,EMEA/H/C/000807,"Eucreas is indicated in the treatment of type-2 diabetes mellitus:

Eucreas is indicated in the treatment of adult patients who are unable to achieve sufficient glycaemic control at their maximally tolerated dose of oral metformin alone or who are already treated with the combination of vildagliptin and metformin as separate tablets.
Eucreas is indicated in combination with a sulphonylurea (i.e. triple combination therapy) as an adjunct to diet and exercise in patients inadequately controlled with metformin and a sulphonylurea.
Eucreas is indicated in triple combination therapy with insulin as an adjunct to diet and exercise to improve glycaemic control in patients when insulin at a stable dose and metformin alone do not provide adequate glycaemic control.
",,"['Q421042', 'Q27089363']",,"['596554', '235743']",
300,Eurartesim,piperaquine tetraphosphate / dihydroartemisinin,2011-10-27,Authorised,Malaria,index.jsp?curl=pages/medicines/human/medicines/001199/human_med_001450.jsp,P01BF05,EMEA/H/C/001199,"Eurartesim is indicated for the treatment of uncomplicated Plasmodium falciparum malaria in adults, children and infants 6 months and over and weighing 5 kg or more.
Consideration should be given to official guidance on the appropriate use of antimalarial agents.",,,,,
301,Evarrest,human fibrinogen / human thrombin,2013-09-25,Authorised,Hemostasis,index.jsp?curl=pages/medicines/human/medicines/002515/human_med_001675.jsp,B02BC30,EMEA/H/C/002515,"Evarrest is indicated in adults for supportive treatment in surgery where standard surgical techniques are insufficient, for improvement of haemostasis.",,,,,
302,Evicel,human fibrinogen / human thrombin,2008-10-06,Authorised,"Hemostasis, Surgical",index.jsp?curl=pages/medicines/human/medicines/000898/human_med_000771.jsp,B02BC,EMEA/H/C/000898,"Evicel is used as supportive treatment in surgery where standard surgical techniques are insufficient, for improvement of haemostasis.
Evicel is also indicated as suture support for haemostasis in vascular surgery.",,,,,
303,Eviplera,emtricitabine / rilpivirine hydrochloride / tenofovir disoproxil fumarate,2011-11-28,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/002312/human_med_001514.jsp,J05AR08,EMEA/H/C/002312,"Eviplera is indicated for the treatment of adults infected with human immunodeficiency virus type 1 (HIV-1) without known mutations associated with resistance to the non-nucleoside reverse transcriptase inhibitor (NNRTI) class, tenofovir or emtricitabine, and with a viral load  100,000 HIV-1 RNA copies/mL. As with other antiretroviral medicinal products, genotypic resistance testing and/or historical resistance data should guide the use of Eviplera.",,"['Q422604', 'Q27137040', 'Q27132754']",,"['276237', '1102287', '322248']",
304,Evista,raloxifene hydrochloride,1998-08-05,Authorised,"Osteoporosis, Postmenopausal",index.jsp?curl=pages/medicines/human/medicines/000184/human_med_000772.jsp,G03XC01,EMEA/H/C/000184,"Evista is indicated for the treatment and prevention of osteoporosis in post-menopausal women. A significant reduction in the incidence of vertebral, but not hip fractures has been demonstrated. When determining the choice of Evista or other therapies, including oestrogens, for an individual postmenopausal woman, consideration should be given to menopausal symptoms, effects on uterine and breast tissues, and cardiovascular risks and benefits (see section 5.1).",Q425223,,72143,,
305,Evoltra,clofarabine,2006-05-29,Authorised,Precursor Cell Lymphoblastic Leukemia-Lymphoma,index.jsp?curl=pages/medicines/human/medicines/000613/human_med_000773.jsp,L01BB06,EMEA/H/C/000613,Treatment of acute lymphoblastic leukaemia (ALL) in paediatric patients who have relapsed or are refractory after receiving at least two prior regimens and where there is no other treatment option anticipated to result in a durable response. Safety and efficacy have been assessed in studies of patients  21 years old at initial diagnosis.,Q5134875,,44151,,
306,Evotaz,atazanavir sulfate / cobicistat,2015-07-13,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/003904/human_med_001884.jsp,J05AR,EMEA/H/C/003904,Evotazis indicated in combination with other antiretroviral medicinal products for the treatment of HIV-1 infected adults without known mutations associated with resistance to atazanavir.,,"['Q27114238', 'Q5138908']",,"['358299', '1306284']",
307,Evotopin,topotecan,1997-04-15,Withdrawn,Ovarian Neoplasms,index.jsp?curl=pages/medicines/human/medicines/000124/human_med_000774.jsp,L01XX17,EMEA/H/C/000124,Topotecan is indicated for the treatment of patients with metastatic carcinoma of the ovary after failure of first-line or subsequent therapy.,Q419953,,57308,,
308,Evra,norelgestromin / ethinyl estradiol,2002-08-22,Authorised,Contraception,index.jsp?curl=pages/medicines/human/medicines/000410/human_med_000775.jsp,G03AA13,EMEA/H/C/000410,"Female contraception.
Evra is intended for women of fertile age. The safety and efficacy has been established in women aged 18 to 45 years.",,"['Q15295638', 'Q415563']",,"['326374', '4124']",352377
